row	label	cycles	crack_size_m	delta_k	da_dn	cycle_interval	ae_count	ae_energy	ae_duration	ae_count_formula
16	0	0	0.0028316550000000015	15.747681073723463	0	0	0	0	0	
17	19.4	11640	0.003176118593242979	16.668956545054893	2.9593092203004937e-08	11640	2971	452	17863	SUMIFS(Z:Z,Y:Y,">0",Y:Y,"<=11640")
18	32.2	19320	0.003511957628591381	17.557454365982416	4.3729041060989877e-08	7680	1517	83	6815	SUMIFS(Z:Z,Y:Y,">11640",Y:Y,"<=19320")
19	37.9	22740	0.0038407536056875163	18.427332645674614	9.61391745895132e-08	3420	4356	46748	40791	SUMIFS(Z:Z,Y:Y,">19320",Y:Y,"<=22740")
20	41.1	24660	0.004163508863385573	19.288418576552765	1.681016967177378e-07	1920	124	2	706	SUMIFS(Z:Z,Y:Y,">22740",Y:Y,"<=24660")
21	44.55	26730	0.004480877709548522	20.147941377235128	1.5331828317050672e-07	2070	69	7	558	SUMIFS(Z:Z,Y:Y,">24660",Y:Y,"<=26730")
22	48.8	29280	0.004793294844849351	21.01151216276071	1.2251652364738403e-07	2550	25853	24108	393862	SUMIFS(Z:Z,Y:Y,">26730",Y:Y,"<=29280")
23	51.34	30804.000000000004	0.005101051239281358	21.88371467901058	2.019398913595843e-07	1524.0000000000036	2275	1614	47866	SUMIFS(Z:Z,Y:Y,">29280",Y:Y,"<=30804")
24	53.55	32130	0.005404341207683805	22.76847786510404	2.2872546636685339e-07	1325.9999999999964	8354	4803	121446	SUMIFS(Z:Z,Y:Y,">30804",Y:Y,"<=32130")
25	55.1	33060	0.00570329280237271	23.66931758195856	3.2145332762247886e-07	930	25896	25847	350218	SUMIFS(Z:Z,Y:Y,">32130",Y:Y,"<=33060")
26	failure	33140	0.0062884770665833705	25.532122054197384		80	71416	103664	980125	SUMIFS(Z:Z,Y:Y,"<=33060")
