event_id,file_name,start_sample,event_time_s,peak_rank,frequency_khz,magnitude
1,20221018_122549.mat,296311,0.296311,1,165.0,0.249938624216931
1,20221018_122549.mat,296311,0.296311,2,125.0,0.0705811267900324
1,20221018_122549.mat,296311,0.296311,3,225.0,0.03750241890412166
2,20221018_122549.mat,670829,0.670829,1,165.0,0.03343632476843108
2,20221018_122549.mat,670829,0.670829,2,140.0,0.027541170402492394
2,20221018_122549.mat,670829,0.670829,3,245.0,0.024930820056998017
3,20221018_122549.mat,2628989,2.628989,1,165.0,0.12273829537527572
3,20221018_122549.mat,2628989,2.628989,2,110.0,0.03203760795204347
3,20221018_122549.mat,2628989,2.628989,3,300.0,0.021597160319672976
4,20221018_122549.mat,4228949,4.228949,1,160.0,0.1568375325640023
4,20221018_122549.mat,4228949,4.228949,2,115.0,0.06563194575560861
4,20221018_122549.mat,4228949,4.228949,3,230.0,0.03797065322299487
5,20221018_122549.mat,4229148,4.229148,1,170.0,0.1501294684377718
5,20221018_122549.mat,4229148,4.229148,2,125.0,0.05164379271690845
5,20221018_122549.mat,4229148,4.229148,3,215.0,0.03177422010122555
6,20221018_122549.mat,4352528,4.352528,1,155.0,0.05805440812565991
6,20221018_122549.mat,4352528,4.352528,2,210.0,0.03739215406078316
6,20221018_122549.mat,4352528,4.352528,3,100.0,0.028295272447227356
7,20221018_122549.mat,4352727,4.352727,1,115.0,0.10060692568148243
7,20221018_122549.mat,4352727,4.352727,2,170.0,0.08614540243243589
7,20221018_122549.mat,4352727,4.352727,3,145.0,0.04071618137620209
8,20221018_122549.mat,4733016,4.733016,1,165.0,0.14050520530970054
8,20221018_122549.mat,4733016,4.733016,2,110.0,0.03227201564807414
8,20221018_122549.mat,4733016,4.733016,3,305.0,0.02601664400357497
9,20221018_122549.mat,4800477,4.800477,1,170.0,0.08864862712422109
9,20221018_122549.mat,4800477,4.800477,2,110.0,0.05289519442658915
9,20221018_122549.mat,4800477,4.800477,3,200.0,0.03789599100654389
10,20221018_122549.mat,4827342,4.827342,1,165.0,0.08456396145532906
10,20221018_122549.mat,4827342,4.827342,2,95.0,0.0264322808475423
10,20221018_122549.mat,4827342,4.827342,3,210.0,0.025318811142359274
11,20221018_122554.mat,172931,0.172931,1,165.0,0.09879561603872787
11,20221018_122554.mat,172931,0.172931,2,110.0,0.02560481601489965
11,20221018_122554.mat,172931,0.172931,3,370.0,0.020822926121385237
12,20221018_122554.mat,410139,0.410139,1,165.0,0.10610383463573475
12,20221018_122554.mat,410139,0.410139,2,115.0,0.024236331177138165
12,20221018_122554.mat,410139,0.410139,3,230.0,0.0185147863042269
13,20221018_122554.mat,473023,0.473023,1,165.0,0.11104811791516986
13,20221018_122554.mat,473023,0.473023,2,295.0,0.02296132470979343
13,20221018_122554.mat,473023,0.473023,3,355.0,0.01775564954172196
14,20221018_122554.mat,722569,0.722569,1,165.0,0.13739757351819035
14,20221018_122554.mat,722569,0.722569,2,115.0,0.03404662163620617
14,20221018_122554.mat,722569,0.722569,3,305.0,0.02538970571301288
15,20221018_122554.mat,848536,0.848536,1,160.0,0.05417447530135404
15,20221018_122554.mat,848536,0.848536,2,115.0,0.04643066834529791
15,20221018_122554.mat,848536,0.848536,3,195.0,0.024702902953431975
