event_id,file_name,start_sample,event_time_s,peak_rank,frequency_khz,magnitude
1,20221018_121010.mat,22885,0.022885,1,155.0,0.032875424799407534
2,20221018_121010.mat,82784,0.082784,1,200.0,0.03697486478737107
3,20221018_121010.mat,92734,0.092734,1,160.0,0.04027109628320071
4,20221018_121010.mat,122783,0.122783,1,155.0,0.029787109860383187
5,20221018_121010.mat,172732,0.172732,1,165.0,0.03407122929058932
6,20221018_121010.mat,202781,0.202781,1,235.0,0.03980648532526672
7,20221018_121010.mat,212731,0.212731,1,175.0,0.03398861623297053
8,20221018_121010.mat,232631,0.232631,1,220.0,0.03173690888708806
9,20221018_121010.mat,312629,0.312629,1,285.0,0.031971389828017636
10,20221018_121010.mat,372528,0.372528,1,240.0,0.029692754740649828
11,20221018_121010.mat,462476,0.462476,1,145.0,0.033850906964243595
12,20221018_121010.mat,492525,0.492525,1,160.0,0.03576445872019579
13,20221018_121010.mat,502475,0.502475,1,340.0,0.03840458331801768
14,20221018_121010.mat,612323,0.612323,1,160.0,0.034383419125611485
15,20221018_121010.mat,632422,0.632422,1,180.0,0.03748033408296937
16,20221018_121010.mat,642372,0.642372,1,180.0,0.04246274571087523
17,20221018_121010.mat,692321,0.692321,1,200.0,0.03410883131559808
18,20221018_121010.mat,722370,0.72237,1,300.0,0.03078776044056009
19,20221018_121010.mat,742270,0.74227,1,240.0,0.03156627984760753
20,20221018_121010.mat,782269,0.782269,1,230.0,0.03138077513036583
21,20221018_121010.mat,792219,0.792219,1,180.0,0.0352695566590345
22,20221018_121010.mat,902266,0.902266,1,200.0,0.037040577862078566
23,20221018_121010.mat,972115,0.972115,1,180.0,0.03414469263043177
24,20221018_121010.mat,1142061,1.142061,1,170.0,0.0360786844900873
25,20221018_121010.mat,1152011,1.152011,1,200.0,0.030453213537073434
26,20221018_121010.mat,1182060,1.18206,1,110.0,0.03279728733508892
27,20221018_121010.mat,1201960,1.20196,1,155.0,0.04203813247354921
28,20221018_121010.mat,1232009,1.232009,1,195.0,0.03504822387098342
29,20221018_121010.mat,1281958,1.281958,1,160.0,0.026390516906167876
30,20221018_121010.mat,1291908,1.291908,1,210.0,0.0335898933807455
31,20221018_121010.mat,1301858,1.301858,1,230.0,0.03346558640925826
32,20221018_121010.mat,1312007,1.312007,1,255.0,0.032390453404384505
33,20221018_121010.mat,1321957,1.321957,1,220.0,0.028935422225913606
34,20221018_121010.mat,1381856,1.381856,1,170.0,0.029535758210871694
35,20221018_121010.mat,1401955,1.401955,1,190.0,0.03286220879802285
36,20221018_121010.mat,1441755,1.441755,1,180.0,0.02987050672550572
37,20221018_121010.mat,1451904,1.451904,1,175.0,0.028621716888769043
38,20221018_121010.mat,1461854,1.461854,1,310.0,0.02970183688817417
39,20221018_121010.mat,1471804,1.471804,1,230.0,0.035898143233096015
40,20221018_121010.mat,1511803,1.511803,1,165.0,0.03445053035775498
41,20221018_121010.mat,1531703,1.531703,1,275.0,0.03142195123731464
42,20221018_121010.mat,1591801,1.591801,1,190.0,0.033084038574491055
43,20221018_121010.mat,1621651,1.621651,1,175.0,0.0296063330304634
44,20221018_121010.mat,1631800,1.6318,1,215.0,0.03725308152437988
45,20221018_121010.mat,1661650,1.66165,1,340.0,0.03284609004163229
46,20221018_121010.mat,1671600,1.6716,1,185.0,0.034831296276921206
47,20221018_121010.mat,1681749,1.681749,1,180.0,0.03538875111082314
48,20221018_121010.mat,1791597,1.791597,1,155.0,0.035838179459726505
49,20221018_121010.mat,1851496,1.851496,1,145.0,0.030307875948796647
50,20221018_121010.mat,1871595,1.871595,1,160.0,0.03454823175391504
51,20221018_121010.mat,1891495,1.891495,1,340.0,0.03092606750369943
52,20221018_121010.mat,1931494,1.931494,1,165.0,0.036895249213373345
