event_id,file_name,start_sample,event_time_s,peak_rank,frequency_khz,magnitude
1,20221018_121010.mat,22885,0.022885,1,155,0.0328754247994075
1,20221018_121010.mat,22885,0.022885,2,225,0.0249465264505458
1,20221018_121010.mat,22885,0.022885,3,280,0.0233337675491261
2,20221018_121010.mat,82784,0.082784,1,200,0.0369748647873711
2,20221018_121010.mat,82784,0.082784,2,175,0.03317778804438
2,20221018_121010.mat,82784,0.082784,3,270,0.029171613160039
3,20221018_121010.mat,92734,0.092734,1,160,0.0402710962832007
3,20221018_121010.mat,92734,0.092734,2,480,0.0265820085989822
3,20221018_121010.mat,92734,0.092734,3,130,0.0265140411283473
4,20221018_121010.mat,122783,0.122783,1,155,0.0297871098603832
4,20221018_121010.mat,122783,0.122783,2,210,0.0286974556267631
4,20221018_121010.mat,122783,0.122783,3,255,0.027087567101444
5,20221018_121010.mat,172732,0.172732,1,165,0.0340712292905893
5,20221018_121010.mat,172732,0.172732,2,95,0.0279586044150987
5,20221018_121010.mat,172732,0.172732,3,200,0.0265281102790271
6,20221018_121010.mat,202781,0.202781,1,235,0.0398064853252667
6,20221018_121010.mat,202781,0.202781,2,175,0.0349493327398756
6,20221018_121010.mat,202781,0.202781,3,150,0.0267557382550029
7,20221018_121010.mat,212731,0.212731,1,175,0.0339886162329705
7,20221018_121010.mat,212731,0.212731,2,140,0.0259861260643437
7,20221018_121010.mat,212731,0.212731,3,105,0.0240983758522246
8,20221018_121010.mat,232631,0.232631,1,220,0.0317369088870881
8,20221018_121010.mat,232631,0.232631,2,170,0.0301026904501318
8,20221018_121010.mat,232631,0.232631,3,105,0.0271108577360055
9,20221018_121010.mat,312629,0.312629,1,285,0.0319713898280176
9,20221018_121010.mat,312629,0.312629,2,225,0.0276273782166396
9,20221018_121010.mat,312629,0.312629,3,340,0.0251221666066645
10,20221018_121010.mat,372528,0.372528,1,240,0.0296927547406498
10,20221018_121010.mat,372528,0.372528,2,205,0.0293593554048878
10,20221018_121010.mat,372528,0.372528,3,445,0.0284590522454981
11,20221018_121010.mat,462476,0.462476,1,145,0.0338509069642436
11,20221018_121010.mat,462476,0.462476,2,230,0.0331656059890664
11,20221018_121010.mat,462476,0.462476,3,280,0.0281652822120081
12,20221018_121010.mat,492525,0.492525,1,160,0.0357644587201958
12,20221018_121010.mat,492525,0.492525,2,10,0.0275448020876331
12,20221018_121010.mat,492525,0.492525,3,255,0.0252662616803594
13,20221018_121010.mat,502475,0.502475,1,340,0.0384045833180177
13,20221018_121010.mat,502475,0.502475,2,265,0.0294066539402356
13,20221018_121010.mat,502475,0.502475,3,235,0.0265189912992381
14,20221018_121010.mat,612323,0.612323,1,160,0.0343834191256115
14,20221018_121010.mat,612323,0.612323,2,195,0.0268723386006337
14,20221018_121010.mat,612323,0.612323,3,65,0.0248761326237573
15,20221018_121010.mat,632422,0.632422,1,180,0.0374803340829694
15,20221018_121010.mat,632422,0.632422,2,150,0.0314545524198859
15,20221018_121010.mat,632422,0.632422,3,85,0.0272381219955093
16,20221018_121010.mat,642372,0.642372,1,180,0.0424627457108752
16,20221018_121010.mat,642372,0.642372,2,240,0.0334344117516948
16,20221018_121010.mat,642372,0.642372,3,215,0.0263012738692172
17,20221018_121010.mat,692321,0.692321,1,200,0.0341088313155981
17,20221018_121010.mat,692321,0.692321,2,175,0.0296588024261186
17,20221018_121010.mat,692321,0.692321,3,340,0.0296027548370879
18,20221018_121010.mat,722370,0.72237,1,300,0.0307877604405601
18,20221018_121010.mat,722370,0.72237,2,245,0.0304243915056203
18,20221018_121010.mat,722370,0.72237,3,160,0.0254447918331267
19,20221018_121010.mat,742270,0.74227,1,240,0.0315662798476075
19,20221018_121010.mat,742270,0.74227,2,175,0.0308776040437336
19,20221018_121010.mat,742270,0.74227,3,205,0.029327933510528
20,20221018_121010.mat,782269,0.782269,1,230,0.0313807751303658
20,20221018_121010.mat,782269,0.782269,2,190,0.0267668488946668
20,20221018_121010.mat,782269,0.782269,3,165,0.0262251582907881
21,20221018_121010.mat,792219,0.792219,1,180,0.0352695566590345
21,20221018_121010.mat,792219,0.792219,2,265,0.0249967678537039
21,20221018_121010.mat,792219,0.792219,3,80,0.0245131613427573
22,20221018_121010.mat,902266,0.902266,1,200,0.0370405778620786
22,20221018_121010.mat,902266,0.902266,2,235,0.0333522628486409
22,20221018_121010.mat,902266,0.902266,3,145,0.022626296578802
23,20221018_121010.mat,972115,0.972115,1,180,0.0341446926304318
23,20221018_121010.mat,972115,0.972115,2,265,0.0308608376314884
23,20221018_121010.mat,972115,0.972115,3,305,0.0269895286233835
24,20221018_121010.mat,1142061,1.142061,1,170,0.0360786844900873
24,20221018_121010.mat,1142061,1.142061,2,215,0.0306988560576179
24,20221018_121010.mat,1142061,1.142061,3,90,0.0283070720501719
25,20221018_121010.mat,1152011,1.152011,1,200,0.0304532135370734
25,20221018_121010.mat,1152011,1.152011,2,245,0.0264693940159202
25,20221018_121010.mat,1152011,1.152011,3,90,0.0252666695505667
26,20221018_121010.mat,1182060,1.18206,1,110,0.0327972873350889
26,20221018_121010.mat,1182060,1.18206,2,465,0.0283152188757015
26,20221018_121010.mat,1182060,1.18206,3,190,0.0275017890768183
27,20221018_121010.mat,1201960,1.20196,1,155,0.0420381324735492
27,20221018_121010.mat,1201960,1.20196,2,255,0.0300428890277111
27,20221018_121010.mat,1201960,1.20196,3,230,0.020765441727577
28,20221018_121010.mat,1232009,1.232009,1,195,0.0350482238709834
28,20221018_121010.mat,1232009,1.232009,2,160,0.0319276639404166
28,20221018_121010.mat,1232009,1.232009,3,105,0.0303613566972041
29,20221018_121010.mat,1281958,1.281958,1,160,0.0263905169061679
29,20221018_121010.mat,1281958,1.281958,2,185,0.0261962907162797
29,20221018_121010.mat,1281958,1.281958,3,115,0.0260350000062838
30,20221018_121010.mat,1291908,1.291908,1,210,0.0335898933807455
30,20221018_121010.mat,1291908,1.291908,2,170,0.0296517625024918
30,20221018_121010.mat,1291908,1.291908,3,250,0.0280432334860432
31,20221018_121010.mat,1301858,1.301858,1,230,0.0334655864092583
31,20221018_121010.mat,1301858,1.301858,2,255,0.029324965207032
31,20221018_121010.mat,1301858,1.301858,3,280,0.0279082271301879
32,20221018_121010.mat,1312007,1.312007,1,255,0.0323904534043845
32,20221018_121010.mat,1312007,1.312007,2,230,0.0263353889747141
32,20221018_121010.mat,1312007,1.312007,3,120,0.024671216542171
33,20221018_121010.mat,1321957,1.321957,1,220,0.0289354222259136
33,20221018_121010.mat,1321957,1.321957,2,150,0.0275472424446965
33,20221018_121010.mat,1321957,1.321957,3,285,0.0223547665056127
34,20221018_121010.mat,1381856,1.381856,1,170,0.0295357582108717
34,20221018_121010.mat,1381856,1.381856,2,205,0.0288594491370016
34,20221018_121010.mat,1381856,1.381856,3,95,0.0278240295209726
35,20221018_121010.mat,1401955,1.401955,1,190,0.0328622087980229
35,20221018_121010.mat,1401955,1.401955,2,140,0.0286945672659596
35,20221018_121010.mat,1401955,1.401955,3,275,0.0283366065252238
36,20221018_121010.mat,1441755,1.441755,1,180,0.0298705067255057
36,20221018_121010.mat,1441755,1.441755,2,240,0.0285637836357374
36,20221018_121010.mat,1441755,1.441755,3,205,0.0277396583333422
37,20221018_121010.mat,1451904,1.451904,1,175,0.028621716888769
37,20221018_121010.mat,1451904,1.451904,2,105,0.0270079289801035
37,20221018_121010.mat,1451904,1.451904,3,240,0.026886434457325
38,20221018_121010.mat,1461854,1.461854,1,310,0.0297018368881742
38,20221018_121010.mat,1461854,1.461854,2,95,0.026905435937228
38,20221018_121010.mat,1461854,1.461854,3,175,0.02687121945817
39,20221018_121010.mat,1471804,1.471804,1,230,0.035898143233096
39,20221018_121010.mat,1471804,1.471804,2,335,0.0272575059587426
39,20221018_121010.mat,1471804,1.471804,3,290,0.0267381342244035
40,20221018_121010.mat,1511803,1.511803,1,165,0.034450530357755
40,20221018_121010.mat,1511803,1.511803,2,230,0.0286595729197805
40,20221018_121010.mat,1511803,1.511803,3,260,0.0253251964773648
41,20221018_121010.mat,1531703,1.531703,1,275,0.0314219512373146
41,20221018_121010.mat,1531703,1.531703,2,225,0.0281009479939922
41,20221018_121010.mat,1531703,1.531703,3,200,0.0259657488356277
42,20221018_121010.mat,1591801,1.591801,1,190,0.0330840385744911
42,20221018_121010.mat,1591801,1.591801,2,260,0.030385752324353
42,20221018_121010.mat,1591801,1.591801,3,225,0.0273738291726898
43,20221018_121010.mat,1621651,1.621651,1,175,0.0296063330304634
43,20221018_121010.mat,1621651,1.621651,2,250,0.0270229976889124
43,20221018_121010.mat,1621651,1.621651,3,220,0.0252664400593391
44,20221018_121010.mat,1631800,1.6318,1,215,0.0372530815243799
44,20221018_121010.mat,1631800,1.6318,2,185,0.034590165766897
44,20221018_121010.mat,1631800,1.6318,3,270,0.0299846965028713
45,20221018_121010.mat,1661650,1.66165,1,340,0.0328460900416323
45,20221018_121010.mat,1661650,1.66165,2,215,0.0258497680646581
45,20221018_121010.mat,1661650,1.66165,3,270,0.0240124200645684
46,20221018_121010.mat,1671600,1.6716,1,185,0.0348312962769212
46,20221018_121010.mat,1671600,1.6716,2,225,0.0306321214167349
46,20221018_121010.mat,1671600,1.6716,3,110,0.0291856346599086
47,20221018_121010.mat,1681749,1.681749,1,180,0.0353887511108231
47,20221018_121010.mat,1681749,1.681749,2,230,0.0245444121415662
47,20221018_121010.mat,1681749,1.681749,3,290,0.0212049491570679
48,20221018_121010.mat,1791597,1.791597,1,155,0.0358381794597265
48,20221018_121010.mat,1791597,1.791597,2,210,0.0293518926950254
48,20221018_121010.mat,1791597,1.791597,3,180,0.0286944611990675
49,20221018_121010.mat,1851496,1.851496,1,145,0.0303078759487967
49,20221018_121010.mat,1851496,1.851496,2,185,0.026612009235558
49,20221018_121010.mat,1851496,1.851496,3,255,0.0258006092697545
50,20221018_121010.mat,1871595,1.871595,1,160,0.034548231753915
50,20221018_121010.mat,1871595,1.871595,2,100,0.0248438514469168
50,20221018_121010.mat,1871595,1.871595,3,235,0.024636916126975
51,20221018_121010.mat,1891495,1.891495,1,340,0.0309260675036994
51,20221018_121010.mat,1891495,1.891495,2,180,0.0286835110347806
51,20221018_121010.mat,1891495,1.891495,3,245,0.0279152409834107
52,20221018_121010.mat,1931494,1.931494,1,165,0.0368952492133733
52,20221018_121010.mat,1931494,1.931494,2,130,0.0299872749809209
52,20221018_121010.mat,1931494,1.931494,3,210,0.0252439060104434
53,20221018_121010.mat,1971493,1.971493,1,210,0.033413976347856
53,20221018_121010.mat,1971493,1.971493,2,165,0.0306961943318835
53,20221018_121010.mat,1971493,1.971493,3,120,0.026940683346069
54,20221018_121010.mat,2021442,2.021442,1,115,0.0283759986400153
54,20221018_121010.mat,2021442,2.021442,2,240,0.0275959287189474
54,20221018_121010.mat,2021442,2.021442,3,90,0.0264073447714338
55,20221018_121010.mat,2041541,2.041541,1,155,0.0301199957396768
55,20221018_121010.mat,2041541,2.041541,2,255,0.029202742985242
55,20221018_121010.mat,2041541,2.041541,3,440,0.0265152409163424
56,20221018_121010.mat,2051491,2.051491,1,105,0.0280394138326649
56,20221018_121010.mat,2051491,2.051491,2,195,0.0264697642521054
56,20221018_121010.mat,2051491,2.051491,3,280,0.0256010407739152
57,20221018_121010.mat,2061441,2.061441,1,195,0.0325772024923755
57,20221018_121010.mat,2061441,2.061441,2,115,0.0252163299124272
57,20221018_121010.mat,2061441,2.061441,3,90,0.0244021677536594
58,20221018_121010.mat,2101440,2.10144,1,185,0.0278119882665455
58,20221018_121010.mat,2101440,2.10144,2,150,0.0273717675217815
58,20221018_121010.mat,2101440,2.10144,3,250,0.0266173176509198
59,20221018_121010.mat,2141439,2.141439,1,235,0.0354872340939638
59,20221018_121010.mat,2141439,2.141439,2,145,0.0315317287690512
59,20221018_121010.mat,2141439,2.141439,3,190,0.0284840118484987
60,20221018_121010.mat,2221238,2.221238,1,155,0.0341813390076438
60,20221018_121010.mat,2221238,2.221238,2,215,0.027754460808546
60,20221018_121010.mat,2221238,2.221238,3,185,0.0274261378216371
61,20221018_121010.mat,2311186,2.311186,1,180,0.0403580723992869
61,20221018_121010.mat,2311186,2.311186,2,95,0.0259252320124931
61,20221018_121010.mat,2311186,2.311186,3,125,0.024442352554732
62,20221018_121010.mat,2351185,2.351185,1,185,0.032011015245707
62,20221018_121010.mat,2351185,2.351185,2,160,0.0320045045433668
62,20221018_121010.mat,2351185,2.351185,3,220,0.0270563687266113
63,20221018_121010.mat,2399542,2.399542,1,155,0.0906271381625148
63,20221018_121010.mat,2399542,2.399542,2,120,0.0359295619582769
63,20221018_121010.mat,2399542,2.399542,3,230,0.029909437001405
64,20221018_121010.mat,2421233,2.421233,1,165,0.0314334358018364
64,20221018_121010.mat,2421233,2.421233,2,130,0.0312099507290776
64,20221018_121010.mat,2421233,2.421233,3,225,0.0261150181700442
65,20221018_121010.mat,2501231,2.501231,1,280,0.0356614413768876
65,20221018_121010.mat,2501231,2.501231,2,195,0.0312964061411223
65,20221018_121010.mat,2501231,2.501231,3,220,0.0291063831304085
66,20221018_121010.mat,2541031,2.541031,1,255,0.0297927927677571
66,20221018_121010.mat,2541031,2.541031,2,175,0.025076020860105
66,20221018_121010.mat,2541031,2.541031,3,220,0.0238045307051945
67,20221018_121010.mat,2571080,2.57108,1,265,0.0291382954867978
67,20221018_121010.mat,2571080,2.57108,2,85,0.0265665384229256
67,20221018_121010.mat,2571080,2.57108,3,180,0.0264384303141495
68,20221018_121010.mat,2611079,2.611079,1,160,0.0372628842321234
68,20221018_121010.mat,2611079,2.611079,2,245,0.0332119371727765
68,20221018_121010.mat,2611079,2.611079,3,190,0.0230879605125212
69,20221018_121010.mat,2670978,2.670978,1,170,0.0377691514165403
69,20221018_121010.mat,2670978,2.670978,2,245,0.0306735495470997
69,20221018_121010.mat,2670978,2.670978,3,205,0.0291246304399221
70,20221018_121010.mat,2680928,2.680928,1,190,0.034153265101078
70,20221018_121010.mat,2680928,2.680928,2,145,0.0322604950250047
70,20221018_121010.mat,2680928,2.680928,3,225,0.0269525208613336
71,20221018_121010.mat,2720927,2.720927,1,175,0.0382296470662446
71,20221018_121010.mat,2720927,2.720927,2,255,0.027229232903046
71,20221018_121010.mat,2720927,2.720927,3,225,0.0264311802011546
72,20221018_121010.mat,3000721,3.000721,1,230,0.0307144040685778
72,20221018_121010.mat,3000721,3.000721,2,185,0.0276351930746629
72,20221018_121010.mat,3000721,3.000721,3,150,0.0220826998549653
73,20221018_121010.mat,3010870,3.01087,1,265,0.0386911836765605
73,20221018_121010.mat,3010870,3.01087,2,170,0.0278539562693599
73,20221018_121010.mat,3010870,3.01087,3,340,0.0275352096993795
74,20221018_121010.mat,3050670,3.05067,1,170,0.0400944812620312
74,20221018_121010.mat,3050670,3.05067,2,340,0.0318843579518432
74,20221018_121010.mat,3050670,3.05067,3,225,0.0271686027115773
75,20221018_121010.mat,3100818,3.100818,1,220,0.0339122638849592
75,20221018_121010.mat,3100818,3.100818,2,165,0.02996026601527
75,20221018_121010.mat,3100818,3.100818,3,115,0.0252209637590508
76,20221018_121010.mat,3160717,3.160717,1,270,0.0292194044939505
76,20221018_121010.mat,3160717,3.160717,2,220,0.0258953721073152
76,20221018_121010.mat,3160717,3.160717,3,140,0.0255180443760058
77,20221018_121010.mat,3180617,3.180617,1,165,0.0388905036483283
77,20221018_121010.mat,3180617,3.180617,2,265,0.0283853515207455
77,20221018_121010.mat,3180617,3.180617,3,130,0.028266317050968
