event_id,file_name,start_sample,event_time_s,peak_rank,frequency_khz,magnitude
1,20221018_112803.mat,2731076,2.731076,1,165.0,0.08758286547295872
2,20221018_112803.mat,3672147,3.672147,1,155.0,0.09650130927938047
3,20221018_112803.mat,3672346,3.672346,1,175.0,0.09279009686719376
4,20221018_112808.mat,204373,0.204373,1,145.0,0.03922217942274613
5,20221018_112808.mat,204572,0.204572,1,160.0,0.13874423472954994
6,20221018_112808.mat,258700,0.2587,1,160.0,0.11579921733391496
7,20221018_112808.mat,388846,0.388846,1,165.0,0.29746499832001055
8,20221018_112808.mat,389045,0.389045,1,175.0,0.06611495285956287
9,20221018_112808.mat,505261,0.505261,1,160.0,0.1016010035687724
10,20221018_112808.mat,506256,0.506256,1,165.0,0.1415730795947232
11,20221018_112808.mat,810328,0.810328,1,165.0,0.1240841867036644
12,20221018_112808.mat,963160,0.96316,1,175.0,0.04201412333393266
13,20221018_112808.mat,963359,0.963359,1,160.0,0.09564055213532244
14,20221018_112808.mat,1173503,1.173503,1,165.0,0.15855983863353112
15,20221018_112808.mat,1266635,1.266635,1,165.0,0.13340611360378868
16,20221018_112808.mat,1266834,1.266834,1,165.0,0.1310398558914477
17,20221018_112808.mat,1401358,1.401358,1,165.0,0.05777408789001067
18,20221018_112808.mat,1544837,1.544837,1,165.0,0.14469651422764299
19,20221018_112808.mat,1612497,1.612497,1,170.0,0.13882181500852903
20,20221018_112808.mat,1898261,1.898261,1,165.0,0.06739734579806626
21,20221018_112808.mat,1941245,1.941245,1,165.0,0.085428382601916
22,20221018_112808.mat,2073381,2.073381,1,165.0,0.07622110882673523
23,20221018_112808.mat,2078356,2.078356,1,165.0,0.04793123770909104
24,20221018_112808.mat,2267008,2.267008,1,165.0,0.04234337379404223
25,20221018_112808.mat,2273376,2.273376,1,165.0,0.2475322518254823
26,20221018_112808.mat,2371881,2.371881,1,175.0,0.12900533477615306
27,20221018_112808.mat,2432178,2.432178,1,175.0,0.10626237026059397
28,20221018_112808.mat,2432377,2.432377,1,165.0,0.07751469793549816
29,20221018_112808.mat,2511579,2.511579,1,165.0,0.16179518242716573
30,20221018_112808.mat,2552573,2.552573,1,165.0,0.10412913011054303
31,20221018_112808.mat,2573269,2.573269,1,165.0,0.2329686751596282
32,20221018_112808.mat,2573468,2.573468,1,165.0,0.22833769365716436
33,20221018_112808.mat,2671973,2.671973,1,165.0,0.06112918297589482
34,20221018_112808.mat,2694659,2.694659,1,165.0,0.13083406649184962
35,20221018_112808.mat,2699435,2.699435,1,160.0,0.05522421452593012
36,20221018_112808.mat,2699634,2.699634,1,165.0,0.06428489485265575
37,20221018_112808.mat,2709385,2.709385,1,165.0,0.2637216418549244
38,20221018_112808.mat,2738041,2.738041,1,160.0,0.12022272922662777
39,20221018_112808.mat,2738240,2.73824,1,165.0,0.07450811598439883
40,20221018_112808.mat,2774657,2.774657,1,165.0,0.0934673186889464
41,20221018_112808.mat,2807492,2.807492,1,165.0,0.06296268449453148
42,20221018_112808.mat,2859431,2.859431,1,165.0,0.4661277602874503
43,20221018_112808.mat,2859630,2.85963,1,175.0,0.08210537309971488
44,20221018_112808.mat,2945598,2.945598,1,165.0,0.08102032634699374
45,20221018_112808.mat,3103604,3.103604,1,160.0,0.0930159589701069
46,20221018_112808.mat,3144399,3.144399,1,165.0,0.08723897283718457
47,20221018_112808.mat,3247680,3.24768,1,160.0,0.21282454249673427
48,20221018_112808.mat,3295440,3.29544,1,160.0,0.0587408204220682
49,20221018_112808.mat,3295639,3.295639,1,165.0,0.3883801913155781
50,20221018_112808.mat,3401905,3.401905,1,165.0,0.07639343198401818
51,20221018_112808.mat,3447476,3.447476,1,165.0,0.09191044357277263
52,20221018_112808.mat,3447675,3.447675,1,160.0,0.04166534272090114
53,20221018_112808.mat,3451854,3.451854,1,160.0,0.07476866850377513
54,20221018_112808.mat,3458421,3.458421,1,165.0,0.07712811293678015
55,20221018_112808.mat,3458819,3.458819,1,160.0,0.09486737529426904
56,20221018_112808.mat,3460411,3.460411,1,170.0,0.05451179394428116
57,20221018_112808.mat,3474341,3.474341,1,165.0,0.40194597956168826
58,20221018_112808.mat,3474540,3.47454,1,175.0,0.10454884690123506
59,20221018_112808.mat,3503395,3.503395,1,165.0,0.12233930206005734
60,20221018_112808.mat,3508569,3.508569,1,160.0,0.13810579563076442
61,20221018_112808.mat,3508768,3.508768,1,170.0,0.06936508831891464
62,20221018_112808.mat,3510758,3.510758,1,165.0,0.07221471661715634
63,20221018_112808.mat,3521703,3.521703,1,160.0,0.06578356834195266
64,20221018_112808.mat,3528270,3.52827,1,165.0,0.06300612793115418
65,20221018_112808.mat,3594537,3.594537,1,170.0,0.06809847615236819
66,20221018_112808.mat,3601502,3.601502,1,165.0,0.10384853833898572
67,20221018_112808.mat,3625183,3.625183,1,165.0,0.0807334643770317
68,20221018_112808.mat,3656824,3.656824,1,165.0,0.08834459930518251
69,20221018_112808.mat,3660406,3.660406,1,165.0,0.15002585865879375
70,20221018_112808.mat,3660605,3.660605,1,170.0,0.12118074962532999
71,20221018_112808.mat,3754334,3.754334,1,160.0,0.07472812331976601
72,20221018_112808.mat,3769458,3.769458,1,170.0,0.19440142265149687
73,20221018_112808.mat,3769657,3.769657,1,175.0,0.29040619376245025
74,20221018_112808.mat,3769856,3.769856,1,160.0,0.15971998556156836
75,20221018_112808.mat,3770055,3.770055,1,175.0,0.07545137907201348
76,20221018_112808.mat,3770254,3.770254,1,160.0,0.048716082329103794
77,20221018_112808.mat,3770453,3.770453,1,175.0,0.08583590829677465
78,20221018_112808.mat,3770851,3.770851,1,165.0,0.058288014039166704
79,20221018_112808.mat,3771050,3.77105,1,165.0,0.04718026449309461
80,20221018_112808.mat,3773438,3.773438,1,155.0,0.05942591896392106
81,20221018_112808.mat,3774234,3.774234,1,175.0,0.043882231673012216
82,20221018_112808.mat,3774433,3.774433,1,165.0,0.08265752564761851
83,20221018_112808.mat,3789159,3.789159,1,165.0,0.08868199342956111
84,20221018_112808.mat,3793338,3.793338,1,160.0,0.15987969594593748
85,20221018_112808.mat,3859207,3.859207,1,160.0,0.09587540315395204
86,20221018_112808.mat,3862192,3.862192,1,170.0,0.05932198974047942
87,20221018_112808.mat,3878908,3.878908,1,160.0,0.04687277774399116
88,20221018_112808.mat,3898012,3.898012,1,160.0,0.09753932604004385
89,20221018_112808.mat,3901196,3.901196,1,160.0,0.07365711856242829
