event_index,time_s,peak_frequency_khz,peak_magnitude
71506,14.3012,160,8.74069028291819
82709,16.5418,160,10.4726330690456
115258,23.0516,165,6.67247181635422
140889,28.1778,150,17.7611667331126
140890,28.178,160,17.9388591079993
170006,34.0012,160,22.8239181219303
186176,37.2352,155,11.02551745544
190099,38.0198,165,6.55654215016517
216756,43.3512,175,5.19660566915271
251252,50.2504,170,6.14254087622157
266068,53.2136,165,9.70522354146454
273811,54.7622,160,18.7771662629313
273812,54.7624,160,12.9581759272489
274710,54.942,160,30.4388029455432
282900,56.58,160,9.16142345317907
284512,56.9024,165,7.15462842271045
285647,57.1294,160,7.14060539191504
287645,57.529,155,15.3022314407954
290898,58.1796,180,15.7147101687847
295233,59.0466,160,9.80014477412217
306664,61.3328,465,4.43380596827069
310271,62.0542,155,6.12143791545692
312349,62.4698,165,6.99190704502765
314161,62.8322,155,5.67789150210792
315022,63.0044,170,6.15942780556589
343334,68.6668,170,13.8065753749836
353600,70.72,280,5.93655139584081
364688,72.9376,160,7.16186328698463
369229,73.8458,165,4.98875860872207
372629,74.5258,165,7.01377121432607
397545,79.509,180,28.1893110913266
397546,79.5092,160,77.8834427387972
406729,81.3458,340,8.43312892166296
453015,90.603,340,5.34466546983135
455543,91.1086,155,23.2431105680559
466500,93.3,165,8.66502511496459
503741,100.7482,160,5.88619183004083
519694,103.9388,280,10.0161358783715
520716,104.1432,175,16.6530698859183
522068,104.4136,280,7.76115258270177
525542,105.1084,280,5.92118003571043
525734,105.1468,280,5.72424536281001
529599,105.9198,160,12.1680981521851
534215,106.843,160,6.75009705011082
534216,106.8432,160,12.8477023007531
547108,109.4216,280,8.17089653812204
548708,109.7416,340,20.7595184999318
557354,111.4708,160,7.59415778403901
559849,111.9698,160,10.1393249471407
559850,111.97,155,7.83500373203111
582550,116.51,340,7.84108380160033
627861,125.5722,165,9.78022621354106
643824,128.7648,160,5.74146403303357
646170,129.234,165,10.6618698101753
655374,131.0748,160,10.5426687049523
655483,131.0966,160,9.55133630645122
655485,131.097,165,7.22914179549138
655486,131.0972,180,27.3194994655769
655487,131.0974,180,7.60663679717503
656039,131.2078,160,10.5315737400131
656040,131.208,160,18.3191726457398
656041,131.2082,160,9.23394536306728
656043,131.2086,160,8.70172366217529
656862,131.3724,175,10.7590055445978
657474,131.4948,165,8.50695842346705
664190,132.838,160,24.5024718775328
664191,132.8382,160,13.385018917937
664331,132.8662,155,9.40664307881766
666990,133.398,160,9.65195178744419
666991,133.3982,160,75.8038698968608
666992,133.3984,160,17.5901172950581
667003,133.4006,285,118.542978771107
667004,133.4008,160,260.500881452615
667005,133.401,160,40.5289223883757
676225,135.245,165,4.99364776896169
677082,135.4164,160,8.03507015152844
677163,135.4326,280,10.731397702348
677190,135.438,280,5.63113885014202
677215,135.443,280,159.033110784271
677216,135.4432,160,34.1936194592736
677245,135.449,165,6.76630828907009
677256,135.4512,170,318.989690752771
677257,135.4514,170,69.6458663119067
677258,135.4516,160,13.6694561495743
677261,135.4522,165,96.0984944411897
677262,135.4524,165,39.0705247110411
677352,135.4704,280,7.98751637213895
679830,135.966,165,7.9772439750705
679999,135.9998,165,66.3966506701597
680000,136,160,17.1875255674839
680048,136.0096,160,16.4506976139128
680049,136.0098,175,10.7419294100485
682930,136.586,160,8.98168385490952
683278,136.6556,170,6.73016960864523
683954,136.7908,160,6.82272490854604
704783,140.9566,175,8.61381137289832
708313,141.6626,160,12.8050210316655
710570,142.114,160,98.8076651191812
710571,142.1142,160,10.0375678313174
710572,142.1144,155,4.22216469723203
710573,142.1146,160,29.050850674706
