event_id,file_name,event_time_s,peak_rank,frequency_khz,magnitude
1,20221018_103520.mat,0.455909,1,165.0,0.1252958439229941
1,20221018_103520.mat,0.455909,2,295.0,0.11426547987040613
1,20221018_103520.mat,0.455909,3,345.0,0.09124677213677529
2,20221018_103520.mat,0.46964,1,160.0,0.30905087037573953
2,20221018_103520.mat,0.46964,2,135.0,0.1718602088110719
2,20221018_103520.mat,0.46964,3,335.0,0.06269608292709568
3,20221018_103520.mat,0.469839,1,160.0,0.0856815242705663
3,20221018_103520.mat,0.469839,2,120.0,0.046433359300816816
3,20221018_103520.mat,0.469839,3,215.0,0.02125254752723076
4,20221018_103520.mat,0.64675,1,170.0,0.08173378764644859
4,20221018_103520.mat,0.64675,2,345.0,0.01686776076429472
4,20221018_103520.mat,0.64675,3,465.0,0.016144793429891873
5,20221018_103520.mat,0.95122,1,165.0,0.06387310872760257
5,20221018_103520.mat,0.95122,2,250.0,0.021996910172899616
5,20221018_103520.mat,0.95122,3,215.0,0.01889088969095086
6,20221018_103520.mat,1.021666,1,165.0,0.07090773673513052
6,20221018_103520.mat,1.021666,2,315.0,0.02577183322628356
6,20221018_103520.mat,1.021666,3,190.0,0.02518703194987976
7,20221018_103520.mat,1.23778,1,160.0,0.06339596185427977
7,20221018_103520.mat,1.23778,2,350.0,0.05676329980739132
7,20221018_103520.mat,1.23778,3,185.0,0.04874956911866603
8,20221018_103520.mat,1.237979,1,165.0,0.09895138839284207
8,20221018_103520.mat,1.237979,2,295.0,0.0415877418876046
8,20221018_103520.mat,1.237979,3,355.0,0.030229219581055882
9,20221018_103520.mat,2.28651,1,165.0,0.2308277995078191
9,20221018_103520.mat,2.28651,2,295.0,0.09302317192850271
9,20221018_103520.mat,2.28651,3,140.0,0.07266709340388551
10,20221018_103520.mat,2.287306,1,170.0,0.06477565003177833
10,20221018_103520.mat,2.287306,2,150.0,0.030811280593518564
10,20221018_103520.mat,2.287306,3,350.0,0.018708464139923706
11,20221018_103520.mat,2.305216,1,165.0,0.07301702165393216
11,20221018_103520.mat,2.305216,2,185.0,0.046562085190236184
11,20221018_103520.mat,2.305216,3,340.0,0.03628466628537548
12,20221018_103520.mat,2.330091,1,165.0,0.06427818936896308
12,20221018_103520.mat,2.330091,2,145.0,0.04103888136423745
12,20221018_103520.mat,2.330091,3,185.0,0.03728252171498891
13,20221018_103520.mat,2.475361,1,170.0,0.11182206776592525
13,20221018_103520.mat,2.475361,2,110.0,0.03305119806914974
13,20221018_103520.mat,2.475361,3,140.0,0.029468526242742495
14,20221018_103520.mat,2.511181,1,165.0,0.059338794900525925
14,20221018_103520.mat,2.511181,2,300.0,0.0289605993650012
14,20221018_103520.mat,2.511181,3,185.0,0.023643121293566886
15,20221018_103520.mat,2.760727,1,170.0,0.5910465284100787
15,20221018_103520.mat,2.760727,2,130.0,0.2369822346329086
15,20221018_103520.mat,2.760727,3,485.0,0.15458119215006386
16,20221018_103520.mat,2.760926,1,170.0,0.2049176418161883
16,20221018_103520.mat,2.760926,2,130.0,0.08902767705273744
16,20221018_103520.mat,2.760926,3,150.0,0.0421451278300271
17,20221018_103520.mat,2.913161,1,175.0,0.07018815547152608
17,20221018_103520.mat,2.913161,2,135.0,0.03530337129719171
17,20221018_103520.mat,2.913161,3,295.0,0.022903621204510734
18,20221018_103520.mat,3.191164,1,160.0,0.09196365797750275
18,20221018_103520.mat,3.191164,2,185.0,0.038678315872798186
18,20221018_103520.mat,3.191164,3,135.0,0.03577623014725086
19,20221018_103520.mat,3.336036,1,165.0,0.11450820814452937
19,20221018_103520.mat,3.336036,2,300.0,0.039518079318835164
19,20221018_103520.mat,3.336036,3,145.0,0.03756487531488633
20,20221018_103520.mat,3.4825,1,115.0,0.07532579269462344
20,20221018_103520.mat,3.4825,2,165.0,0.05803027790498808
20,20221018_103520.mat,3.4825,3,210.0,0.03279783765141151
21,20221018_103520.mat,3.541603,1,160.0,0.09122209252281878
21,20221018_103520.mat,3.541603,2,130.0,0.04134663207257705
21,20221018_103520.mat,3.541603,3,220.0,0.03591562345648863
22,20221018_103520.mat,3.565483,1,155.0,0.056118109494761176
22,20221018_103520.mat,3.565483,2,175.0,0.040473824315972295
22,20221018_103520.mat,3.565483,3,135.0,0.023274883775972893
23,20221018_103520.mat,3.666973,1,165.0,0.07389754670777628
23,20221018_103520.mat,3.666973,2,115.0,0.02157427964631897
23,20221018_103520.mat,3.666973,3,340.0,0.020638559077942088
24,20221018_103520.mat,3.73125,1,175.0,0.05418884930377133
24,20221018_103520.mat,3.73125,2,140.0,0.03460942196837879
24,20221018_103520.mat,3.73125,3,5.0,0.020709218475318307
25,20221018_103520.mat,3.741001,1,175.0,0.14447142852951955
25,20221018_103520.mat,3.741001,2,145.0,0.04136968123016176
25,20221018_103520.mat,3.741001,3,120.0,0.02483060327412952
26,20221018_103520.mat,3.763289,1,160.0,0.05470752357949715
26,20221018_103520.mat,3.763289,2,190.0,0.025420525126023663
26,20221018_103520.mat,3.763289,3,115.0,0.020844820693345555
27,20221018_103520.mat,3.763488,1,165.0,0.1265756067173279
27,20221018_103520.mat,3.763488,2,185.0,0.06400716413646082
27,20221018_103520.mat,3.763488,3,125.0,0.04840861149799652
28,20221018_103520.mat,3.854431,1,130.0,0.06385614003813321
28,20221018_103520.mat,3.854431,2,165.0,0.055578792646880336
28,20221018_103520.mat,3.854431,3,295.0,0.03918855010096441
29,20221018_103520.mat,3.85463,1,170.0,0.10723633305409999
29,20221018_103520.mat,3.85463,2,115.0,0.07308806731507116
29,20221018_103520.mat,3.85463,3,145.0,0.027818852139576602
30,20221018_103520.mat,3.854829,1,165.0,0.07255041003265303
30,20221018_103520.mat,3.854829,2,115.0,0.04424724448944008
30,20221018_103520.mat,3.854829,3,185.0,0.028381576360815532
31,20221018_103520.mat,3.893037,1,165.0,0.06492392255942529
31,20221018_103520.mat,3.893037,2,140.0,0.02324892338569308
31,20221018_103520.mat,3.893037,3,300.0,0.01901676147504952
32,20221018_103520.mat,4.068356,1,165.0,0.07372114142576708
32,20221018_103520.mat,4.068356,2,185.0,0.04008648262221165
32,20221018_103520.mat,4.068356,3,140.0,0.018320327647414546
33,20221018_103520.mat,4.482873,1,175.0,0.12698962702864788
33,20221018_103520.mat,4.482873,2,135.0,0.032342752105162874
33,20221018_103520.mat,4.482873,3,280.0,0.024553995329613675
34,20221018_103520.mat,4.483072,1,175.0,0.08421120909419835
34,20221018_103520.mat,4.483072,2,130.0,0.029597312504743935
34,20221018_103520.mat,4.483072,3,205.0,0.02164457543818281
35,20221018_103520.mat,4.527847,1,165.0,0.11476943333435695
35,20221018_103520.mat,4.527847,2,185.0,0.10968849685784196
35,20221018_103520.mat,4.527847,3,135.0,0.07848874604237585
36,20221018_103520.mat,4.539986,1,155.0,0.05581260459455882
36,20221018_103520.mat,4.539986,2,135.0,0.024687618017692488
36,20221018_103520.mat,4.539986,3,305.0,0.021785009173462946
37,20221018_103520.mat,4.562871,1,170.0,0.0728455698492067
37,20221018_103520.mat,4.562871,2,190.0,0.04815992926116288
37,20221018_103520.mat,4.562871,3,105.0,0.036526153660098475
38,20221018_103520.mat,4.56506,1,170.0,0.060503020486945606
38,20221018_103520.mat,4.56506,2,135.0,0.039335915662148384
38,20221018_103520.mat,4.56506,3,110.0,0.029308271162131885
39,20221018_103520.mat,4.582174,1,165.0,0.07803236192303982
39,20221018_103520.mat,4.582174,2,145.0,0.04167413119647683
39,20221018_103520.mat,4.582174,3,125.0,0.039712734477512265
40,20221018_103520.mat,4.637098,1,175.0,0.07123933049902147
40,20221018_103520.mat,4.637098,2,150.0,0.043069134156923636
40,20221018_103520.mat,4.637098,3,125.0,0.02291843076604211
41,20221018_103520.mat,4.669137,1,165.0,0.07814266447300443
41,20221018_103520.mat,4.669137,2,145.0,0.028181238715920712
41,20221018_103520.mat,4.669137,3,125.0,0.02613597014018764
42,20221018_103520.mat,4.676898,1,160.0,0.057090299548210724
42,20221018_103520.mat,4.676898,2,135.0,0.027081131989358444
42,20221018_103520.mat,4.676898,3,190.0,0.024992473378395764
43,20221018_103520.mat,4.768438,1,160.0,0.11179802362692412
43,20221018_103520.mat,4.768438,2,185.0,0.06069413613530252
43,20221018_103520.mat,4.768438,3,235.0,0.029252052039951126
44,20221018_103520.mat,4.882067,1,160.0,0.07308299718663706
44,20221018_103520.mat,4.882067,2,180.0,0.028897444320861228
44,20221018_103520.mat,4.882067,3,135.0,0.025152197165524307
45,20221018_103520.mat,4.888037,1,155.0,0.0629278028594993
45,20221018_103520.mat,4.888037,2,135.0,0.020419621222747292
45,20221018_103520.mat,4.888037,3,210.0,0.019798882603994757
46,20221018_103520.mat,4.894604,1,165.0,0.06804138408971372
46,20221018_103520.mat,4.894604,2,185.0,0.053875421886575715
46,20221018_103520.mat,4.894604,3,110.0,0.027082543091944113
47,20221018_103520.mat,4.931419,1,165.0,0.0734706411903729
47,20221018_103520.mat,4.931419,2,185.0,0.06055546697425009
47,20221018_103520.mat,4.931419,3,110.0,0.03262337766088326
48,20221018_103520.mat,4.937986,1,170.0,0.05790493327478186
48,20221018_103520.mat,4.937986,2,105.0,0.029606517126364994
48,20221018_103520.mat,4.937986,3,305.0,0.022546659537012178
49,20221018_103525.mat,0.045969,1,175.0,0.06380435968773106
49,20221018_103525.mat,0.045969,2,145.0,0.03685351569904997
49,20221018_103525.mat,0.045969,3,50.0,0.01842485223384888
50,20221018_103525.mat,0.047362,1,165.0,0.09076440504826709
50,20221018_103525.mat,0.047362,2,185.0,0.07305049600663395
