event_index,time_s,peak_frequency_khz,peak_magnitude
197297,39.4594,170,3.51571624232663
245197,49.0394,375,2.80101710166784
245198,49.0396,345,5.83583828347156
351689,70.3378,170,6.01183136466955
351690,70.338,170,7.77588845530139
470384,94.0768,170,8.89573560568629
485734,97.1468,305,5.42122273155459
485735,97.147,165,13.9755658159535
489135,97.827,170,25.5541473276298
492305,98.461,170,9.08940769495938
493556,98.7112,350,11.5556610557213
500867,100.1734,165,45.9959661856813
546951,109.3902,170,24.2366478324936
550139,110.0278,305,4.45358379014394
555839,111.1678,165,5.16348174712976
587256,117.4512,175,6.21650368623863
587257,117.4514,165,25.5578209843867
603105,120.621,170,12.6307581773884
603106,120.6212,165,14.6528113443903
611615,122.323,170,16.3289467824332
614079,122.8158,165,10.1986743350515
621069,124.2138,170,8.44836082067323
621070,124.214,165,9.95663658459696
681182,136.2364,155,2.96689167344385
681183,136.2366,165,12.799172300094
702324,140.4648,240,19.4158373416889
702325,140.465,165,51.297590407245
702326,140.4652,165,12.9381108035119
704154,140.8308,170,15.894514417732
706481,141.2962,170,9.66990323307474
706482,141.2964,165,19.0900373213454
707777,141.5554,165,15.8867595151829
709419,141.8838,165,10.8287795068171
711964,142.3928,170,13.7619470593329
713099,142.6198,170,9.03836371633678
723696,144.7392,300,20.3253444698873
723697,144.7394,185,16.0820122721446
725395,145.079,115,7.55054659705438
729730,145.946,170,6.59361372815422
733565,146.713,245,20.060012943981
733566,146.7132,165,38.0853685704748
738601,147.7202,165,25.8009397468901
738602,147.7204,170,28.6290464842492
738604,147.7208,165,13.9778369346771
738605,147.721,175,12.7372734249416
738611,147.7222,165,69.9077131358393
738612,147.7224,165,14.9547643790521
738868,147.7736,170,23.1482672659979
738872,147.7744,165,22.1803024875873
738873,147.7746,175,13.2997230830238
738876,147.7752,170,9.82496375271159
738892,147.7784,165,15.4049672688052
738906,147.7812,165,15.5355770511586
738907,147.7814,170,23.6308870190625
738909,147.7818,170,8.19614037979494
738925,147.785,170,10.4331230907369
739207,147.8414,170,9.57898785621526
739524,147.9048,170,12.3883784469509
739545,147.909,170,11.0369862775693
744176,148.8352,165,10.1468153125358
745835,149.167,165,8.45713277402582
754609,150.9218,170,9.02371471470338
760663,152.1326,305,7.27881289017856
760783,152.1566,165,15.839181781081
760913,152.1826,185,108.551377236422
760914,152.1828,180,26.7666271580388
761044,152.2088,185,7.86624502643464
761057,152.2114,180,7.22194440747072
761072,152.2144,170,10.2791580060413
761175,152.235,185,6.78922441221079
761276,152.2552,170,6.45867912415902
761277,152.2554,185,5.26789376674592
761334,152.2668,170,11.7742103183173
761432,152.2864,170,10.9768475446489
761462,152.2924,170,8.14699358876742
762468,152.4936,170,7.12602012209005
765290,153.058,300,61.0450602958639
765291,153.0582,130,48.831304377494
765292,153.0584,130,13.3939292471686
765294,153.0588,305,9.28263588205639
765399,153.0798,300,6.97076067234715
765441,153.0882,185,7.88114063347223
765454,153.0908,300,20.9728664132294
765455,153.091,185,7.52653059899911
768345,153.669,345,4.03833844445084
770650,154.13,170,46.2576667194095
770651,154.1302,115,16.3262129626169
770667,154.1334,165,17.4608352773431
771149,154.2298,185,11.1077158958503
771150,154.23,165,7.01135836263096
771198,154.2396,165,8.12950557451754
771199,154.2398,165,9.91540387196703
773807,154.7614,170,34.0821111440539
774102,154.8204,115,8.71494849131853
774103,154.8206,185,6.58457363568507
774251,154.8502,350,20.2475207836954
774252,154.8504,170,25.4692761723769
774681,154.9362,165,8.01207174571325
774954,154.9908,165,21.3386409456583
774965,154.993,170,10.5772212571363
775173,155.0346,165,13.908364039935
775174,155.0348,295,18.4297304902845
775175,155.035,165,37.6665105411294
775176,155.0352,165,9.60436753652864
775976,155.1952,170,28.1381164756958
775977,155.1954,175,14.5717378937947
776217,155.2434,170,6.99366262728754
776285,155.257,240,7.90206617084707
778103,155.6206,240,6.21228193138229
784515,156.903,345,8.84503875688254
784517,156.9034,340,6.42521649614589
784518,156.9036,170,49.2374994099426
784519,156.9038,185,32.8665723803472
785285,157.057,170,13.2009541390804
785297,157.0594,170,15.4808573437943
785466,157.0932,150,10.1510877916992
785467,157.0934,185,13.0556320649658
786907,157.3814,170,54.5648858756352
786908,157.3816,165,13.1544196385795
787130,157.426,165,5.19385982798304
787131,157.4262,170,24.1380629775155
787188,157.4376,170,15.2773220016771
787432,157.4864,165,30.7812034321883
787433,157.4866,170,8.43717365755229
787514,157.5028,165,5.39979648850685
787515,157.503,165,9.88875903820334
787516,157.5032,165,5.59795960309682
787517,157.5034,240,7.56936547579117
787522,157.5044,240,8.37192142037358
787523,157.5046,165,9.25952572742201
787524,157.5048,165,16.1763956939525
787525,157.505,170,7.96379065621875
787537,157.5074,170,5.83353291212008
788038,157.6076,165,8.70594832304392
788243,157.6486,165,12.1946298719554
788244,157.6488,170,8.7043303418522
788245,157.649,165,19.8856458351612
788463,157.6926,170,8.20288556409705
788531,157.7062,170,8.23360106303498
788555,157.711,165,13.0882411539627
788559,157.7118,170,16.8611098319617
788560,157.712,165,18.0031286797046
788561,157.7122,165,14.3671296937011
788563,157.7126,165,26.4851336731139
788798,157.7596,165,7.7428993185626
788852,157.7704,165,7.48198168552517
788855,157.771,165,11.6971465296068
789024,157.8048,170,19.7951239052415
790269,158.0538,165,20.5718780720298
790270,158.054,165,21.365920871515
794593,158.9186,170,11.4456474394067
797292,159.4584,170,7.60308465162135
800461,160.0922,130,21.0847119941033
802769,160.5538,165,48.1119080964177
802770,160.554,165,19.4282871049545
806750,161.35,165,14.9564989227848
806751,161.3502,185,13.7026629999397
807432,161.4864,165,15.1303814145275
807433,161.4866,185,7.02393394623351
807599,161.5198,115,10.3343992162169
808505,161.701,170,8.33522846348264
808763,161.7526,170,12.6722101717014
817226,163.4452,170,9.55921129318001
818410,163.682,195,4.66115982402283
823250,164.65,170,9.78610704538952
823316,164.6632,170,9.20382179635753
825164,165.0328,225,4.91225265310403
826802,165.3604,165,33.6454670441728
826807,165.3614,165,13.5473317259684
829718,165.9436,170,8.78585608603838
830341,166.0682,165,6.95408803656654
830597,166.1194,300,7.7005934030382
830616,166.1232,300,7.83404219109756
830623,166.1246,170,73.1448946430721
830624,166.1248,170,69.0860899946904
830625,166.125,165,17.7908654181897
830626,166.1252,165,13.8618348927288
830702,166.1404,300,13.9946907190091
830703,166.1406,165,11.1146709349438
830716,166.1432,165,10.5764995170348
830792,166.1584,165,7.2623153512306
830799,166.1598,170,12.8578289502468
830801,166.1602,170,9.6348437027423
851892,170.3784,165,12.9732770280879
852007,170.4014,165,16.7231533190206
852008,170.4016,165,12.692993550458
852009,170.4018,165,14.8564336221785
853466,170.6932,110,35.1127248411182
853467,170.6934,70,19.6982671452825
855001,171.0002,165,20.3961628298771
868092,173.6184,165,6.02834585458319
868093,173.6186,165,24.0282956109506
893753,178.7506,110,12.6332139940121
894641,178.9282,160,5.31517420932
894642,178.9284,170,10.8767342111059
910219,182.0438,170,234.071674766606
910220,182.044,165,79.4929283182814
910221,182.0442,165,49.5331346277761
910222,182.0444,165,20.1199075338908
910223,182.0446,165,11.8408269918383
915054,183.0108,165,11.7191840772094
923947,184.7894,165,12.1804179187708
924592,184.9184,165,12.0090644528349
935431,187.0862,165,13.5221383600988
935432,187.0864,165,8.76781803869115
986704,197.3408,170,9.39651686914917
986715,197.343,170,16.7780891019592
986716,197.3432,115,7.11628558234642
986749,197.3498,170,70.2682198567236
986750,197.35,165,116.536780727239
986751,197.3502,180,37.0076519479238
986752,197.3504,165,15.2418461094573
986815,197.363,125,4.86243880143865
986816,197.3632,185,6.92725684665603
988530,197.706,175,8.58812191991331
989331,197.8662,165,14.163917163193
989425,197.885,165,9.24866522444508
989656,197.9312,165,10.7542981747501
989789,197.9578,175,5.93983952250204
989790,197.958,175,27.8638373598551
989791,197.9582,165,12.4492580409558
989829,197.9658,165,9.67994809554347
989865,197.973,165,7.81587229176318
995515,199.103,190,6.12256526912555
995516,199.1032,185,10.6094544675885
998017,199.6034,160,5.76348968173772
1043907,208.7814,165,17.2247853087293
1043908,208.7816,165,12.3922110933389
1044957,208.9914,170,12.0166461544096
1046743,209.3486,165,25.8575236055236
1046915,209.383,165,399.483654593184
1046916,209.3832,165,71.4110443150981
1046917,209.3834,180,30.9536460714297
1046918,209.3836,165,34.9679437525126
1046919,209.3838,180,37.46769168293
1046920,209.384,165,15.3738045544742
1046921,209.3842,170,32.4479403503746
1046922,209.3844,165,63.2770575408404
1046923,209.3846,165,13.6838342218752
1046924,209.3848,165,14.4078613984744
1049777,209.9554,170,113.816020961801
1049778,209.9556,165,35.882231064673
1049921,209.9842,165,15.5215594453765
1049922,209.9844,175,35.7111416651938
1049923,209.9846,220,19.1722684251532
1049924,209.9848,165,300.909258727725
1049925,209.985,115,94.1214567542703
1049926,209.9852,165,34.430631267934
1049927,209.9854,165,13.9112798277058
1063282,212.6564,170,5.53050675387006
1063898,212.7796,170,12.0728923263871
1064714,212.9428,170,19.9819632431256
1064715,212.943,170,19.9176830370608
1077235,215.447,165,7.45593266775275
1078047,215.6094,170,11.9295765478905
1087918,217.5836,165,22.4122870717971
1087919,217.5838,165,32.2316697620609
1088201,217.6402,220,13.1504541215332
1088202,217.6404,165,35.8837090480807
1088203,217.6406,180,6.96012419221887
1093191,218.6382,170,7.84417603706239
1093394,218.6788,160,35.2592150416441
1093395,218.679,165,38.2688000158079
1093396,218.6792,165,7.27098171664248
1093423,218.6846,170,31.9115462146902
1093454,218.6908,175,7.1301678247988
1094535,218.907,120,5.35632478876165
1094536,218.9072,180,12.238543949699
1097218,219.4436,435,19.0197288135909
1098452,219.6904,170,10.3389674451958
1098468,219.6936,170,5.9548472026725
1098601,219.7202,440,5.72893510101413
1098634,219.7268,430,20.0163958789664
1098635,219.727,170,19.1456613084439
1098636,219.7272,165,6.94738899369778
1098729,219.7458,440,8.7489780517763
1098734,219.7468,175,3.64545298663109
1098740,219.748,170,12.6416322897343
1098783,219.7566,170,12.4506094287795
1098784,219.7568,165,17.2174901842565
1098806,219.7612,485,17.4318603550189
1098807,219.7614,435,74.8833728388581
1098808,219.7616,180,26.322134780556
1098809,219.7618,440,402.730587356061
1098810,219.762,170,367.105978301358
1098811,219.7622,185,648.552260030983
1098812,219.7624,180,263.625524754652
1098813,219.7626,180,117.181348077742
1098814,219.7628,180,54.7395902712702
1098815,219.763,165,24.9862271552842
1098816,219.7632,165,16.1473344221617
1099036,219.8072,165,11.1723307932704
1099037,219.8074,165,22.5939076824204
1100732,220.1464,175,12.0619306930107
1100733,220.1466,165,11.5881378439004
1101941,220.3882,170,36.7597531637923
1101942,220.3884,165,12.8597115859983
1103697,220.7394,165,18.2340570844727
1105311,221.0622,170,42.3755143565814
1105312,221.0624,165,115.851982803143
1105313,221.0626,165,32.2291166097189
1105314,221.0628,165,18.7487868061626
1105641,221.1282,175,7.01098847788913
1109294,221.8588,170,37.2271218321867
1109295,221.859,175,73.1743078384798
1109296,221.8592,170,13.8331082985405
1110197,222.0394,170,48.9985442252402
1110198,222.0396,175,19.2096081146206
1110216,222.0432,170,31.8288862902237
1110217,222.0434,170,15.1267917945451
1110218,222.0436,115,8.8797797092649
1110225,222.045,170,45.9848466589107
1110226,222.0452,165,28.8120093985916
1110237,222.0474,175,8.5623922757616
1110365,222.073,165,18.1037269644903
1110416,222.0832,165,19.3077777785894
1110417,222.0834,165,12.036274198592
1110441,222.0882,170,36.5231795250312
1110442,222.0884,170,8.13087923195673
1117783,223.5566,165,14.1473679539978
1117838,223.5676,170,221.203889533505
1117839,223.5678,165,129.297391668325
1117840,223.568,180,24.1025184359557
1117841,223.5682,115,23.6988363999058
1117842,223.5684,115,8.22095836229104
1118481,223.6962,115,10.0514382197468
1121272,224.2544,170,15.5586823262232
1121310,224.262,165,15.2405008547943
1130813,226.1626,175,33.2556538661955
1130814,226.1628,175,9.92011452637427
1146397,229.2794,165,25.1023263076814
1149004,229.8008,170,41.5268857646775
1149005,229.801,165,13.560091435911
1149569,229.9138,115,26.7316229858915
1151703,230.3406,175,12.4062198909771
1161608,232.3216,170,10.5486674894522
1162111,232.4222,170,23.5748072949569
1162112,232.4224,170,46.4632201693184
1162113,232.4226,170,11.4104843768104
1163268,232.6536,170,5.44441272450035
1167572,233.5144,165,11.4586534679515
1169968,233.9936,170,10.7728399707587
1170449,234.0898,165,10.965476471529
1170760,234.152,165,8.64208415082955
1170767,234.1534,165,113.130331632158
1170768,234.1536,165,84.3270984523753
1170769,234.1538,165,24.6268896798595
1170770,234.154,165,24.9187426444193
1170782,234.1564,165,7.18982609215986
1170783,234.1566,165,14.4043963260195
1170808,234.1616,165,9.95647274155069
1170809,234.1618,165,11.827614511482
1175920,235.184,165,8.34671272877884
1176032,235.2064,160,16.305351055179
1176033,235.2066,165,11.1051315677021
1176093,235.2186,165,114.986481596633
1176094,235.2188,165,27.5205523535099
1176155,235.231,165,29.2499496928706
1176438,235.2876,170,8.10221612684102
1176489,235.2978,165,8.41153359983651
1177191,235.4382,165,44.618296585877
1177192,235.4384,165,41.1127951800313
1177381,235.4762,165,6.93883256313888
1177447,235.4894,170,6.58420765658056
1177467,235.4934,160,50.0748693550455
1177468,235.4936,165,66.694481520763
1177469,235.4938,180,8.70707086764007
1177526,235.5052,165,28.9965158917349
1177600,235.52,165,14.464470215332
1177601,235.5202,160,9.23814094106782
1177602,235.5204,165,8.29543954795212
1177603,235.5206,165,11.7921925349338
1177606,235.5212,160,6.1642434336668
1177607,235.5214,165,16.2175176839721
1177617,235.5234,165,14.8653467491493
1177635,235.527,165,7.5619014884992
1177636,235.5272,165,10.3486035434624
1177651,235.5302,165,18.4136077542888
1177686,235.5372,165,6.91082432463135
1177697,235.5394,165,13.259522268695
1177705,235.541,170,31.0345652216291
1177706,235.5412,165,7.7941095085142
1177716,235.5432,165,18.1977169303939
1177720,235.544,165,8.08874182701578
1177745,235.549,170,111.347930200063
1177746,235.5492,165,52.4452800236375
1177747,235.5494,170,10.2489233693285
1177748,235.5496,165,13.2839722322109
1177749,235.5498,165,9.98319711892577
1177752,235.5504,165,11.59996470376
1177760,235.552,165,5.72816231546605
1177761,235.5522,165,53.7186513011207
1177762,235.5524,170,133.821767579655
1177763,235.5526,170,43.9493556170649
1177764,235.5528,165,15.1061378084418
1177765,235.553,165,34.5823187421608
1177766,235.5532,170,16.8967361929424
1177768,235.5536,165,89.1484685689214
1177769,235.5538,165,9.48917700004796
1177774,235.5548,165,54.700777296409
1177776,235.5552,165,10.2965303250243
1177785,235.557,165,28.7996024882026
1177786,235.5572,165,18.2788188527539
1177848,235.5696,165,12.6978935889734
1177941,235.5882,165,19.4007837776556
1177952,235.5904,160,8.1921016266147
1177955,235.591,160,18.5444960345399
1177956,235.5912,165,18.3879876506187
1177965,235.593,165,9.4814435268493
1177969,235.5938,165,62.5713771387063
1177970,235.594,165,35.8049102289202
1177986,235.5972,165,12.4105574469325
1178042,235.6084,165,76.7265875378057
1178043,235.6086,165,11.4003661708294
1178113,235.6226,165,33.659733819116
1178256,235.6512,155,10.3302724603069
1178257,235.6514,165,18.9051204086193
1178258,235.6516,165,76.4455476379805
1178259,235.6518,165,52.3343061260668
1178260,235.652,165,12.2317368092584
1178269,235.6538,165,192.704483800864
1178270,235.654,165,61.4025946597301
1178271,235.6542,175,7.37058975596239
1178272,235.6544,165,15.109089638905
1178273,235.6546,165,27.0023341304559
1178279,235.6558,165,12.3059183933139
1178282,235.6564,165,13.5728128588159
1178295,235.659,170,5.17864898723562
1178298,235.6596,170,51.0182959313675
1178299,235.6598,165,87.4041827816592
1178300,235.66,165,43.6567000834399
1178301,235.6602,160,14.2347140607046
1178302,235.6604,165,249.777208301362
1178303,235.6606,165,80.6412042339379
1178304,235.6608,165,47.3689464104846
1178305,235.661,165,48.9386145977773
1178306,235.6612,165,21.4057266424979
1178307,235.6614,165,20.2410800677961
1178308,235.6616,165,15.3795665557093
